Country,Date,Song_Title,Artist,Streams,Rank
Global,2020-02-18,Blinding Lights,The Weeknd,"5,701,747",3
Global,2020-02-18,Intentions (feat. Quavo),Justin Bieber,"4,753,680",4
Global,2020-02-18,Don't Start Now,Dua Lipa,"4,620,166",5
Global,2020-02-18,No Time To Die,Billie Eilish,"4,339,313",6
Global,2020-02-18,Yummy,Justin Bieber,"4,033,884",7
Global,2020-02-18,Tusa,"KAROL G, Nicki Minaj","3,965,183",8
Global,2020-02-18,Falling,Trevor Daniel,"3,878,033",9
Global,2020-02-18,ROXANNE,Arizona Zervas,"3,679,493",10
Global,2020-02-19,Blinding Lights,The Weeknd,"5,983,876",1
Global,2020-02-19,Dance Monkey,Tones And I,"5,957,301",2
Global,2020-02-19,The Box,Roddy Ricch,"5,749,543",3
Global,2020-02-19,Intentions (feat. Quavo),Justin Bieber,"4,833,667",4
Global,2020-02-19,Don't Start Now,Dua Lipa,"4,633,763",5
Global,2020-02-19,No Time To Die,Billie Eilish,"4,467,091",6
Global,2020-02-19,Yummy,Justin Bieber,"4,037,354",7
Global,2020-02-19,Tusa,"KAROL G, Nicki Minaj","4,002,459",8
Global,2020-02-19,Falling,Trevor Daniel,"3,871,618",9
Global,2020-02-19,ROXANNE,Arizona Zervas,"3,714,629",10
Global,2020-02-20,Blinding Lights,The Weeknd,"6,127,151",1
Global,2020-02-20,Dance Monkey,Tones And I,"5,980,798",2
Global,2020-02-20,The Box,Roddy Ricch,"5,643,872",3
Global,2020-02-20,Intentions (feat. Quavo),Justin Bieber,"4,753,045",4
Global,2020-02-20,Don't Start Now,Dua Lipa,"4,601,096",5
Global,2020-02-20,No Time To Die,Billie Eilish,"4,231,654",6
Global,2020-02-20,After Hours,The Weeknd,"4,152,572",7
Global,2020-02-20,Tusa,"KAROL G, Nicki Minaj","4,067,362",8
Global,2020-02-20,Yummy,Justin Bieber,"3,991,664",9
Global,2020-02-20,Falling,Trevor Daniel,"3,821,073",10
Global,2020-02-21,Blinding Lights,The Weeknd,"6,586,353",1
Global,2020-02-21,Dance Monkey,Tones And I,"6,331,977",2
Global,2020-02-21,The Box,Roddy Ricch,"6,060,368",3
Global,2020-02-21,After Hours,The Weeknd,"5,999,269",4
Global,2020-02-21,Don't Start Now,Dua Lipa,"4,852,509",5
Global,2020-02-21,Intentions (feat. Quavo),Justin Bieber,"4,814,678",6
Global,2020-02-21,Tusa,"KAROL G, Nicki Minaj","4,395,076",7
Global,2020-02-21,No Time To Die,Billie Eilish,"4,157,454",8
Global,2020-02-21,Yummy,Justin Bieber,"3,942,954",9
Global,2020-02-21,Falling,Trevor Daniel,"3,935,077",10
Global,2020-02-22,Dance Monkey,Tones And I,"6,308,700",1
Global,2020-02-22,Blinding Lights,The Weeknd,"6,262,836",2
Global,2020-02-22,The Box,Roddy Ricch,"6,026,786",3
Global,2020-02-22,Don't Start Now,Dua Lipa,"4,727,094",4
Global,2020-02-22,Tusa,"KAROL G, Nicki Minaj","4,590,302",5
Global,2020-02-22,Intentions (feat. Quavo),Justin Bieber,"4,442,940",6
Global,2020-02-22,After Hours,The Weeknd,"4,000,056",7
Global,2020-02-22,Falling,Trevor Daniel,"3,826,359",8
Global,2020-02-22,ROXANNE,Arizona Zervas,"3,798,833",9
Global,2020-02-22,No Time To Die,Billie Eilish,"3,714,388",10
Global,2020-02-23,Dance Monkey,Tones And I,"5,408,502",1
Global,2020-02-23,Blinding Lights,The Weeknd,"5,396,530",2
Global,2020-02-23,The Box,Roddy Ricch,"5,278,634",3
Global,2020-02-23,Don't Start Now,Dua Lipa,"4,109,022",4
Global,2020-02-23,Tusa,"KAROL G, Nicki Minaj","3,978,536",5
